name,auth,translator,publisher,date,price,rating,hot,url
妻妾成群,苏童 , 上海文艺出版社 , 上海文艺出版社 , 2004-8 , 23.00元,8.2,32853,https://book.douban.com/subject/1025753/
闪闪发光的人生,[日]小川糸 , 吴曦 , 湖南文艺出版社 , 2019-1-31 , 48.00元,7.5,5125,https://book.douban.com/subject/30255971/
奇风岁月,[美国] 罗伯特·麦卡蒙 , 陈宗琛 , 译林出版社 , 2011-5 , 36.00元,8.9,6392,https://book.douban.com/subject/6016234/
鼠疫,[法] 阿尔贝·加缪 , 李玉民 , 湖南文艺出版社 , 2018-3 , 49.80元,8.9,4427,https://book.douban.com/subject/30134903/
流金岁月,（香港）亦舒 , 海天出版社 , 海天出版社 , 1998-06-01 , 9.80元,8.4,8775,https://book.douban.com/subject/1046172/
真相四部曲,[美] 路易丝·厄德里克 , 张廷佺 等 , 中信出版集团 , 2020-7 , 198.00,9.6,30,https://book.douban.com/subject/34997261/
一个人的好天气,[日] 青山七惠 , 竺家荣 , 上海译文出版社 , 2007-9 , 15.00元,7.6,83179,https://book.douban.com/subject/2250587/
梦幻花,[日]东野圭吾 , 王蕴洁 , 北京联合出版公司 , 2019-12 , 46.8,7.2,1280,https://book.douban.com/subject/33427878/
哑舍,玄色 , 长江出版社 , 长江出版社 , 2011-4 , 23.80元,7.4,8041,https://book.douban.com/subject/6437880/
万有引力之虹,[美] 托马斯·品钦 , 张文宇 , 译林出版社 , 2020-4 , 148.00,7.9,551,https://book.douban.com/subject/30431388/
镇魂,Priest , 贵州人民出版社 , 贵州人民出版社 , 2019-5 , 49.80元,8.3,2626,https://book.douban.com/subject/33456675/
十年一品温如言,书海沧生 , 江苏文艺出版社 , 江苏文艺出版社 , 2011-6 , 46.00元,7.5,22103,https://book.douban.com/subject/6732193/
假面山庄,[日] 东野圭吾 , 陈文娟 , 北京十月文艺出版社 , 2018-1 , 45,7.6,16338,https://book.douban.com/subject/27200261/
银河系漫游指南,[英] 道格拉斯·亚当斯 , 徐百柯 , 四川科学技术出版社 , 2005-6 , 16.00元,8.8,17835,https://book.douban.com/subject/1394364/
多情剑客无情剑(上、中、下),古龙 , 海天出版社 , 海天出版社 , 1991-12-01 , 49.8,8.7,16981,https://book.douban.com/subject/1422833/
使女的故事,[加拿大] 玛格丽特·阿特伍德 , 陈小慰 , 上海译文出版社 , 2017-12 , 49.00元,8.3,7450,https://book.douban.com/subject/27113801/
你好，旧时光,八月长安 , 长江文艺出版社 , 长江文艺出版社 , 2015-10 , 86,8.5,9793,https://book.douban.com/subject/26591331/
