name,auth,translator,publisher,date,price,rating,hot,url
精通以太坊：开发智能合约和去中心化应用,[希] 安德烈亚斯·M. 安东波罗斯、[英] 加文·伍德 , 喻勇 杨镇 阿剑 任露露 Elisa Jiang 译EthFans社区 审校 , 机械工业出版社 , 2019-5 , 129.00元,8.0,26,https://book.douban.com/subject/33424766/
编程卓越之道,海德 , 张菲 , 电子工业出版社 , 2007-4 , 69.00元,8.3,114,https://book.douban.com/subject/2082177/
SQL反模式,[美] Bill Karwin , 谭振林、Push Chen , 人民邮电出版社 , 2011-9 , 59.00元,8.5,256,https://book.douban.com/subject/6800774/
一线架构师实践指南,温昱 , 电子工业出版社 , 电子工业出版社 , 2009年10月 , 35.00元,7.0,183,https://book.douban.com/subject/4031899/
突破思维的障碍,James.L.Adams , 陈新、王箐、陈旭明、叶南奇 , 中国社会科学出版社 , 1990-3 , 3.00,8.8,11,https://book.douban.com/subject/26437051/
The Rails 3 Way,Obie Fernandez , Addison-Wesley Professional , Addison-Wesley Professional , 2010-12-20 , USD 49.99,8.8,53,https://book.douban.com/subject/4739317/
Ruby原理剖析,[美] Patrick Shaughnessy , 张汉东、秦凡鹏 , 华中科技大学出版社 , 2016-12-1 , 78.80元,9.1,32,https://book.douban.com/subject/26920403/
MongoDB权威指南（第2版）,霍多罗夫 (Kristina Chodorow) , 邓强、王明辉 , 人民邮电出版社 , 2014-1-1 , 79.00元,8.1,135,https://book.douban.com/subject/25798102/
图解密码技术（第3版）,[日] 结城浩 , 周自恒 , 人民邮电出版社 , 2016-6 , 89.00元,9.4,253,https://book.douban.com/subject/26822106/
大话处理器,万木杨 , 清华大学出版社 , 清华大学出版社 , 2011-10 , 36.00元,7.2,244,https://book.douban.com/subject/6809087/
Realm of Racket,Matthias Felleisen、Conrad Barski M.D.、David Van Horn、Eight Students Northeastern University of , No Starch Press , No Starch Press , 2013-6-25 , USD 39.95,7.8,16,https://book.douban.com/subject/20489762/
Python高级编程（第二版）,[波兰] Michał Jaworski、[法] Tarek Ziadé , 张亮、阿信 , 人民邮电出版社 , 2017-9-19 , 89.00元,7.3,32,https://book.douban.com/subject/27133480/
Test Driven Development,Kent Beck , Addison-Wesley Professional , Addison-Wesley Professional , 2002-11-18 , USD 49.99,8.4,78,https://book.douban.com/subject/1771049/
Mac OS X and iOS Internals,Jonathan Levin , Wrox , Wrox , 2012-5-1 , USD 49.99,9.0,17,https://book.douban.com/subject/6915626/
深度探索C++对象模型,斯坦利•B.李普曼 (Stanley B. Lippman) , 侯捷 , 电子工业出版社 , 2012-1-1 , 69.00元,9.0,315,https://book.douban.com/subject/10427315/
编程珠玑,Jon Bentley , 人民邮电出版社 , 人民邮电出版社 , 2006-11 , 28.0,9.2,407,https://book.douban.com/subject/1910326/
虚拟机,史密斯 , 电子工业出版社 , 电子工业出版社 , 2006-7 , 68.00元,8.5,29,https://book.douban.com/subject/1885761/
UNIX网络编程 卷1：套接字联网API（第3版）,W.Richard Stevens、Bill Fenner、Andrew M. Rudoff , 杨继张 , 人民邮电出版社 , 2010-6 , 129.00元,9.3,378,https://book.douban.com/subject/4859464/
深入浅出面向对象分析与设计,Brett D.McLaughlin、Gary Pollice、David West , 东南大学出版社 , 东南大学出版社 , 2007-06 , 98.00元,8.3,59,https://book.douban.com/subject/2147916/
算法竞赛入门经典,陈锋 , 清华大学出版社 , 清华大学出版社 , 2018-1-1 , 69.80元,not-found,10,https://book.douban.com/subject/30336590/
Unix内核源码剖析,青柳隆宏 , 殷中翔 , 人民邮电出版社 , 2014-3-1 , 79.00元,8.3,35,https://book.douban.com/subject/25831005/
